price,rent,Apartement
4500.0,rent,apartment
30000.0,rent,house
5500.0,rent,apartment
1500.0,rent,apartment
8000.0,rent,store
15000.0,rent,house
8500.0,rent,store
6500.0,rent,house
1400.0,rent,PH
2500.0,rent,house
3500.0,rent,store
7500.0,rent,store
1900.0,rent,apartment
2200.0,rent,house
3000.0,rent,PH
3500.0,rent,apartment
8000.0,rent,store
1600.0,rent,apartment
9000.0,rent,store
2000.0,rent,store
5000.0,rent,apartment
40000.0,rent,store
40000.0,rent,store
3500.0,rent,apartment
2500.0,rent,store
6750.0,rent,apartment
25000.0,rent,store
8000.0,rent,apartment
5500.0,rent,apartment
8500.0,rent,apartment
6500.0,rent,apartment
69000.0,rent,apartment
60000.0,rent,apartment
4000.0,rent,apartment
3300.0,rent,apartment
4300.0,rent,apartment
10500.0,rent,apartment
9000.0,rent,apartment
8500.0,rent,apartment
5700.0,rent,apartment
13000.0,rent,apartment
9500.0,rent,apartment
50000.0,rent,apartment
8000.0,rent,apartment
11000.0,rent,store
145000.0,rent,store
45000.0,rent,apartment
20000.0,rent,apartment
80000.0,rent,apartment
15000.0,rent,store
5800.0,rent,apartment
30000.0,rent,house
14000.0,rent,apartment
5500.0,rent,apartment
36900.0,rent,apartment
4000.0,rent,apartment
30000.0,rent,store
4350.0,rent,apartment
4100.0,rent,apartment
4200.0,rent,apartment
4300.0,rent,apartment
5900.0,rent,apartment
16000.0,rent,store
19500.0,rent,store
29000.0,rent,store
5000.0,rent,apartment
5900.0,rent,apartment
5500.0,rent,store
4000.0,rent,apartment
3600.0,rent,apartment
2300.0,rent,apartment
14000.0,rent,store
10000.0,rent,store
10000.0,rent,store
12000.0,rent,store
9000.0,rent,store
10000.0,rent,store
32000.0,rent,store
12000.0,rent,store
10000.0,rent,store
2000.0,rent,apartment
3300.0,rent,apartment
8000.0,rent,apartment
15000.0,rent,apartment
2100.0,rent,apartment
4500.0,rent,apartment
6050.0,rent,apartment
2200.0,rent,store
27000.0,rent,apartment
2500.0,rent,apartment
5300.0,rent,apartment
28000.0,rent,store
38000.0,rent,store
900.0,rent,apartment
8500.0,rent,store
17500.0,rent,apartment
10000.0,rent,store
6500.0,rent,apartment
27000.0,rent,apartment
18000.0,rent,apartment
4000.0,rent,apartment
2800.0,rent,apartment
48000.0,rent,store
19000.0,rent,apartment
60000.0,rent,store
16000.0,rent,store
18000.0,rent,store
8000.0,rent,apartment
33000.0,rent,apartment
100000.0,rent,store
27000.0,rent,apartment
2500.0,rent,apartment
2500.0,rent,apartment
2200.0,rent,store
8950.0,rent,apartment
45000.0,rent,store
60000.0,rent,store
4200.0,rent,apartment
4800.0,rent,apartment
14000.0,rent,store
7000.0,rent,apartment
3500.0,rent,apartment
10000.0,rent,store
34000.0,rent,apartment
15000.0,rent,store
9500.0,rent,apartment
129000.0,rent,store
2500.0,rent,store
5000.0,rent,apartment
50000.0,rent,store
12500.0,rent,store
14500.0,rent,store
22500.0,rent,store
18000.0,rent,store
3700.0,rent,apartment
40000.0,rent,house
6500.0,rent,apartment
12500.0,rent,store
2600.0,rent,apartment
3600.0,rent,apartment
7200.0,rent,apartment
35000.0,rent,store
12000.0,rent,apartment
12000.0,rent,store
7000.0,rent,apartment
6500.0,rent,apartment
13900.0,rent,store
6100.0,rent,apartment
16500.0,rent,store
6000.0,rent,apartment
4000.0,rent,apartment
4000.0,rent,apartment
6300.0,rent,apartment
4800.0,rent,apartment
5000.0,rent,apartment
7000.0,rent,apartment
7400.0,rent,apartment
4700.0,rent,apartment
7500.0,rent,store
6000.0,rent,apartment
7200.0,rent,store
3900.0,rent,apartment
8500.0,rent,apartment
5700.0,rent,apartment
17000.0,rent,store
4500.0,rent,apartment
23000.0,rent,apartment
4000.0,rent,store
3300.0,rent,apartment
3500.0,rent,store
2900.0,rent,apartment
10000.0,rent,store
14000.0,rent,store
6500.0,rent,store
5000.0,rent,store
40000.0,rent,store
9000.0,rent,store
18000.0,rent,apartment
15000.0,rent,apartment
15000.0,rent,apartment
7000.0,rent,apartment
1450.0,rent,apartment
52000.0,rent,store
3200.0,rent,apartment
9000.0,rent,store
30000.0,rent,PH
45000.0,rent,store
6000.0,rent,apartment
230000.0,rent,store
6800.0,rent,store
4500.0,rent,store
8500.0,rent,store
8000.0,rent,store
1450.0,rent,apartment
35000.0,rent,store
18000.0,rent,apartment
4000.0,rent,apartment
6200.0,rent,apartment
1700.0,rent,store
1320.0,rent,house
660.0,rent,apartment
960.0,rent,apartment
550.0,rent,apartment
1560.0,rent,house
650.0,rent,apartment
1800.0,rent,house
1056.0,rent,apartment
